votes,district,candidate,office,county,party,precinct
Day,1,U.S. House,1,LIB,George D. Hendrickson,6
Day,2,U.S. House,1,LIB,George D. Hendrickson,3
Day,3,U.S. House,1,LIB,George D. Hendrickson,0
Day,4,U.S. House,1,LIB,George D. Hendrickson,4
Day,5,U.S. House,1,LIB,George D. Hendrickson,2
Day,6,U.S. House,1,LIB,George D. Hendrickson,2
Day,7,U.S. House,1,LIB,George D. Hendrickson,4
Day,8,U.S. House,1,LIB,George D. Hendrickson,2
Day,9,U.S. House,1,LIB,George D. Hendrickson,0
Day,10,U.S. House,1,LIB,George D. Hendrickson,1
Day,11,U.S. House,1,LIB,George D. Hendrickson,4
Day,12,U.S. House,1,LIB,George D. Hendrickson,4
Day,13,U.S. House,1,LIB,George D. Hendrickson,3
Day,14,U.S. House,1,LIB,George D. Hendrickson,1
Day,1,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",141
Day,2,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",153
Day,3,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",89
Day,4,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",110
Day,5,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",95
Day,6,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",139
Day,7,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",101
Day,8,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",77
Day,9,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",132
Day,10,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",54
Day,11,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",103
Day,12,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",111
Day,13,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",100
Day,14,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",136
Day,1,U.S. House,1,DEM,Tim Bjorkman,95
Day,2,U.S. House,1,DEM,Tim Bjorkman,91
Day,3,U.S. House,1,DEM,Tim Bjorkman,69
Day,4,U.S. House,1,DEM,Tim Bjorkman,65
Day,5,U.S. House,1,DEM,Tim Bjorkman,74
Day,6,U.S. House,1,DEM,Tim Bjorkman,113
Day,7,U.S. House,1,DEM,Tim Bjorkman,70
Day,8,U.S. House,1,DEM,Tim Bjorkman,53
Day,9,U.S. House,1,DEM,Tim Bjorkman,57
Day,10,U.S. House,1,DEM,Tim Bjorkman,34
Day,11,U.S. House,1,DEM,Tim Bjorkman,87
Day,12,U.S. House,1,DEM,Tim Bjorkman,91
Day,13,U.S. House,1,DEM,Tim Bjorkman,88
Day,14,U.S. House,1,DEM,Tim Bjorkman,85
Day,1,U.S. House,1,IND,Ron Wieczorek,2
Day,2,U.S. House,1,IND,Ron Wieczorek,6
Day,3,U.S. House,1,IND,Ron Wieczorek,4
Day,4,U.S. House,1,IND,Ron Wieczorek,2
Day,5,U.S. House,1,IND,Ron Wieczorek,10
Day,6,U.S. House,1,IND,Ron Wieczorek,7
Day,7,U.S. House,1,IND,Ron Wieczorek,7
Day,8,U.S. House,1,IND,Ron Wieczorek,2
Day,9,U.S. House,1,IND,Ron Wieczorek,1
Day,10,U.S. House,1,IND,Ron Wieczorek,1
Day,11,U.S. House,1,IND,Ron Wieczorek,13
Day,12,U.S. House,1,IND,Ron Wieczorek,4
Day,13,U.S. House,1,IND,Ron Wieczorek,3
Day,14,U.S. House,1,IND,Ron Wieczorek,6
Day,1,Governor,,LIB,Kurt Evans,3
Day,2,Governor,,LIB,Kurt Evans,4
Day,3,Governor,,LIB,Kurt Evans,3
Day,4,Governor,,LIB,Kurt Evans,2
Day,5,Governor,,LIB,Kurt Evans,5
Day,6,Governor,,LIB,Kurt Evans,0
Day,7,Governor,,LIB,Kurt Evans,1
Day,8,Governor,,LIB,Kurt Evans,2
Day,9,Governor,,LIB,Kurt Evans,2
Day,10,Governor,,LIB,Kurt Evans,2
Day,11,Governor,,LIB,Kurt Evans,9
Day,12,Governor,,LIB,Kurt Evans,3
Day,13,Governor,,LIB,Kurt Evans,1
Day,14,Governor,,LIB,Kurt Evans,2
Day,1,Governor,,REP,Kristi Noem,128
Day,2,Governor,,REP,Kristi Noem,112
Day,3,Governor,,REP,Kristi Noem,76
Day,4,Governor,,REP,Kristi Noem,86
Day,5,Governor,,REP,Kristi Noem,76
Day,6,Governor,,REP,Kristi Noem,106
Day,7,Governor,,REP,Kristi Noem,85
Day,8,Governor,,REP,Kristi Noem,56
Day,9,Governor,,REP,Kristi Noem,105
Day,10,Governor,,REP,Kristi Noem,42
Day,11,Governor,,REP,Kristi Noem,73
Day,12,Governor,,REP,Kristi Noem,78
Day,13,Governor,,REP,Kristi Noem,83
Day,14,Governor,,REP,Kristi Noem,101
Day,1,Governor,,DEM,Billie Sutton,122
Day,2,Governor,,DEM,Billie Sutton,143
Day,3,Governor,,DEM,Billie Sutton,86
Day,4,Governor,,DEM,Billie Sutton,101
