votes,district,candidate,office,county,party,precinct
Grant,11,U.S. House,1,LIB,George D. Hendrickson,8
Grant,12,U.S. House,1,LIB,George D. Hendrickson,1
Grant,21,U.S. House,1,LIB,George D. Hendrickson,7
Grant,22,U.S. House,1,LIB,George D. Hendrickson,8
Grant,31,U.S. House,1,LIB,George D. Hendrickson,0
Grant,32,U.S. House,1,LIB,George D. Hendrickson,2
Grant,33,U.S. House,1,LIB,George D. Hendrickson,2
Grant,41,U.S. House,1,LIB,George D. Hendrickson,3
Grant,42,U.S. House,1,LIB,George D. Hendrickson,2
Grant,43,U.S. House,1,LIB,George D. Hendrickson,3
Grant,44,U.S. House,1,LIB,George D. Hendrickson,1
Grant,45,U.S. House,1,LIB,George D. Hendrickson,6
Grant,46,U.S. House,1,LIB,George D. Hendrickson,3
Grant,47,U.S. House,1,LIB,George D. Hendrickson,1
Grant,49,U.S. House,1,LIB,George D. Hendrickson,4
Grant,52,U.S. House,1,LIB,George D. Hendrickson,5
Grant,53,U.S. House,1,LIB,George D. Hendrickson,0
Grant,54,U.S. House,1,LIB,George D. Hendrickson,4
Grant,11,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",180
Grant,12,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",44
Grant,21,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",57
Grant,22,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",227
Grant,31,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",33
Grant,32,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",60
Grant,33,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",243
Grant,41,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",126
Grant,42,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",185
Grant,43,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",237
Grant,44,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",82
Grant,45,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",99
Grant,46,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",131
Grant,47,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",167
